,0
0,CC(C)NC[C@H](O)COc1ccc(CC(=N)O)cc1
1,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
2,CC(C)NC[C@H](O)c1ccc(O)c(O)c1
3,C[C@@]12N[C@@H](Cc3ccccc31)c1ccccc12.O=C(O)/C=C\C(=O)O
4,O=C1C=CC(=O)c2c1ccc1c2ccc2ccccc21
5,Oc1cccc2c(O)nccc12
6,COc1ccc2[nH]c3c(c2c1)CCN=C3C
7,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1CCC(=O)[C@@H]1C/C=C\CCCC(=O)O
8,CCCCCC1OC1C/C=C\CCCCCCCC(=O)O
9,CCCCC/C=C/C=C1/C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O
10,CCCCC[C@](C)(O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
11,O=C(O)CCC/C=C\C[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)Cc1ccccc1
12,Nc1ccccc1S(N)(=O)=O
13,C[C@H]1CCC[C@@H](C)N1.Cl
14,CC(O)=Nc1cc2ccccc2oc1=O
15,CC(=O)c1cc2ccccc2oc1=O
16,N=C(O)c1cccc(N)c1
17,O=C(O)CC[N+](=O)[O-]
18,Cc1c(O)c(=O)n(-c2ccccc2)n1C
19,O=C1N=C(O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21
20,c1ccc(CNc2nc[nH]c3ncnc2-3)cc1
21,O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12
22,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1
23,N=c1nc(O)c2nn[nH]c2[nH]1
24,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1
25,CCCC(O)=Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1.Cl
26,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
27,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
28,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O
29,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.O=C(O)/C=C\C(=O)O
30,CC(O)=Nc1nnc(S(N)(=O)=O)s1
31,CC(=O)c1ccc(S(=O)(=O)NC(O)=NC2CCCCC2)cc1
32,CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O
33,N=c1nc(O)c2ncn(COCCO)c2[nH]1
34,CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@H]4C1[C@]3([C@@H](OC)C[C@H]2O)[C@@H]1C[C@]2(O)[C@@H](OC)[C@H](O)[C@@]4(OC(C)=O)[C@H]1[C@H]2OC(=O)c1ccccc1
35,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.O
36,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1.Cl
37,O=C(O)c1c(I)cc(I)c(N=C(O)CCCCC(O)=Nc2c(I)cc(I)c(C(=O)O)c2I)c1I
38,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
39,CC(C)Oc1ccc2c(=O)c3cc(C(=O)O)ccc3oc2c1
40,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H]([C@H]2[C@H]5O)N3[C@@H]1O
41,CCCSc1ccc2nc(N=C(O)OC)[nH]c2c1
42,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
43,C=CC[N@@+]12CC[C@@]34c5ccccc5N5C=C6[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(C=C([C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69.[Cl-].[Cl-]
44,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl
45,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
46,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
47,COc1cc2nc(N(C)CCCN=C(O)C3CCCO3)[nH]c(=N)c2cc1OC.Cl
48,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21.CC(CN(C)C)CN1c2ccccc2Sc2ccccc21.O=C(O)[C@@H](O)[C@H](O)C(=O)O
49,N=C(O)NC1N=C(O)N=C1O
50,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](N=C(O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
51,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O
52,C=CCc1ccccc1OCC(O)CNC(C)C.Cl
53,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
54,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
55,O=[N+]([O-])c1ccc2[nH]c3c(c2c1)CC(O)=Nc1ccccc1-3
56,C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1
57,CN(C)c1nc(N(C)C)nc(N(C)C)n1
58,CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
59,NC12CC3CC(CC(C3)C1)C2.NC12CC3CC(CC(C3)C1)C2.O=C(O)/C=C/C(=O)O
60,Cl.Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1
61,NCC[C@H](O)C(O)=N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O.O
62,Cl.N=C(N)N=C(O)c1nc(Cl)c(N)nc1N.O.O
63,NCCCCCC(=O)O
64,CCC1(c2ccc(N)cc2)CCC(O)=NC1=O
65,Nc1ccc(C(=O)NCC(=O)O)cc1
66,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
67,Cn1c(=O)c2nc[nH]c2n(C)c1=O.Cn1c(=O)c2nc[nH]c2n(C)c1=O.NCCN
68,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl
69,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
70,CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl
71,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl.O.O
72,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
73,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
74,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)C=CC=CC=CC=CC=CC=CC=C[C@H](C)[C@@H](O)[C@H]1C)O2
75,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O.O.O.O
76,CCCc1ncc(C[n+]2ccccc2C)c(=N)[nH]1.Cl.[Cl-]
77,Cc1c(N)c(=O)n(-c2ccccc2)n1C
78,Nc1cc(-c2ccncc2)cnc1O
79,CCC(C)(CN(C)C)OC(=O)c1ccccc1.Cl
80,c1cncc(C2CCCCN2)c1
81,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O
82,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1
83,Cl.c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
84,CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](N=C(O)c2cccc(N=CO)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C
85,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
86,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
87,CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](N)[C@H](O)[C@H]2O)O[C@H]2C[C@@H](N)[C@@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)O[C@@H]2[C@@H]1O
88,COc1ccc(CN=C(O)Nc2ncc([N+](=O)[O-])s2)cc1
89,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-].[Na+]
90,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)C(F)(F)F
91,N=C(N)NCCCCNC(=N)N.O=S(=O)(O)O
92,Br.COC(=O)C1=CCCN(C)C1
93,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4
94,CCCNC(C)C(O)=Nc1c(C)csc1C(=O)OC.Cl
95,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
96,C[C@H]1[C@H](C)CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]12
97,COc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
